classifier,acc,acc_diff,svm_better,other_better,mcnemar_p,wilcoxon_p,mcnemar_p_holm,wilcoxon_p_holm
LogReg,0.5833333333333334,0.25595238095238093,52,9,7.550668534861416e-08,2.559535020110019e-07,6.040534827889132e-07,2.559535020110019e-06
LDA,0.5773809523809523,0.261904761904762,52,8,2.8359172121739107e-08,8.304513049106214e-07,2.5523254909565196e-07,7.474061744195593e-06
KNN-5,0.7619047619047619,0.07738095238095244,21,8,0.025857580463442886,0.024293270521609418,0.05171516092688577,0.0576664789581673
GaussianNB,0.6309523809523809,0.20833333333333337,44,9,3.0081996027497837e-06,3.367913727405066e-05,2.1057397219248486e-05,0.00023575396091835463
RandomForest,0.7380952380952381,0.10119047619047616,24,7,0.0040571360323712335,0.015009002874375432,0.013270146797411675,0.0576664789581673
ExtraTrees,0.8095238095238095,0.029761904761904767,13,8,0.38273308888522595,0.4932352024443428,0.38273308888522595,0.4932352024443428
GradBoost,0.7202380952380952,0.11904761904761907,30,10,0.0026631192591385355,0.014416619739541826,0.013270146797411675,0.0576664789581673
MLP,0.5,0.3392857142857143,61,4,3.7593261836832426e-12,8.97494959499767e-07,3.7593261836832426e-11,7.474061744195593e-06
XGBoost,0.7023809523809523,0.13690476190476197,33,10,0.0007937400865613009,0.0038497625796011866,0.0047624405193678054,0.02309857547760712
LightGBM,0.7321428571428571,0.1071428571428572,25,7,0.002654029359482335,0.009689513832435655,0.013270146797411675,0.04844756916217828
