classifier,session_acc,session_f1,hard_acc,hard_f1,soft_acc,soft_f1
SVM-RBF,0.8392857142857143,0.8379862782946913,0.9285714285714286,0.9285285285285285,0.9464285714285714,0.943284765586282
LogReg,0.5833333333333334,0.599864956514205,0.7678571428571429,0.7901579901579902,0.7321428571428571,0.7381413805832411
LDA,0.5773809523809523,0.5425965939727408,0.6428571428571429,0.563059163059163,0.6785714285714286,0.5922077922077923
KNN-5,0.7619047619047619,0.7401819923371648,0.8928571428571429,0.8670286828181565,0.9285714285714286,0.9295780100658151
GaussianNB,0.6309523809523809,0.5936982181364203,0.6964285714285714,0.689291101055807,0.6964285714285714,0.6907536907536908
RandomForest,0.7380952380952381,0.7016193333073616,0.8035714285714286,0.7658119658119658,0.7857142857142857,0.7498514557338086
ExtraTrees,0.8095238095238095,0.8143663895248423,0.8571428571428571,0.8681003584229391,0.9285714285714286,0.9285285285285285
GradBoost,0.7202380952380952,0.6716119621822404,0.75,0.6569078947368422,0.8214285714285714,0.8037211566115793
MLP,0.5,0.36988170966665584,0.5,0.3416666666666666,0.5357142857142857,0.3630496167809601
XGBoost,0.7023809523809523,0.6875660514244256,0.7678571428571429,0.7643193734651889,0.7678571428571429,0.7643193734651889
LightGBM,0.7321428571428571,0.7149711399711399,0.8392857142857143,0.8380952380952381,0.875,0.8839708561020037
