Group,SubjectID,Session,Epoch,RT1_ms
master,sub-52,ss01,1,23022.0
master,sub-52,ss01,2,24916.0
master,sub-52,ss01,3,16502.0
master,sub-52,ss01,4,26262.0
master,sub-52,ss01,5,27604.0
master,sub-52,ss01,6,16414.0
master,sub-52,ss01,7,18002.0
master,sub-52,ss01,8,2250.0
master,sub-52,ss01,9,22088.0
master,sub-52,ss01,10,9262.0
master,sub-52,ss01,11,21324.0
master,sub-52,ss01,12,23186.0
master,sub-52,ss01,13,15356.0
master,sub-52,ss01,14,26790.0
master,sub-52,ss01,15,16508.0
master,sub-52,ss01,16,8552.0
master,sub-52,ss01,17,14188.0
master,sub-52,ss01,18,27298.0
master,sub-52,ss01,19,8640.0
master,sub-52,ss01,20,4286.0
master,sub-52,ss01,21,27934.0
master,sub-52,ss01,22,28574.0
master,sub-52,ss01,23,10188.0
master,sub-52,ss01,24,25634.0
master,sub-52,ss01,25,14924.0
master,sub-52,ss01,26,6330.0
master,sub-52,ss01,27,3966.0
master,sub-52,ss01,28,8962.0
master,sub-52,ss01,29,16662.0
master,sub-52,ss01,30,20772.0
master,sub-52,ss02,1,57826.0
master,sub-52,ss02,2,3136.0
master,sub-52,ss02,3,30528.0
master,sub-52,ss02,4,6648.0
master,sub-52,ss02,5,5380.0
master,sub-52,ss02,6,40760.0
master,sub-52,ss02,7,37580.0
master,sub-52,ss02,8,31532.0
master,sub-52,ss02,9,56734.0
master,sub-52,ss02,10,18544.0
master,sub-52,ss02,11,39548.0
master,sub-52,ss02,12,38432.0
master,sub-52,ss02,13,24210.0
master,sub-52,ss02,14,47096.0
master,sub-52,ss02,15,16144.0
master,sub-52,ss02,16,11478.0
master,sub-52,ss02,17,35268.0
master,sub-52,ss02,18,31828.0
master,sub-52,ss02,19,43420.0
master,sub-52,ss02,20,58322.0
master,sub-52,ss02,21,28434.0
master,sub-52,ss02,22,17048.0
master,sub-52,ss02,23,14106.0
master,sub-52,ss02,24,24354.0
master,sub-52,ss02,25,26704.0
master,sub-52,ss02,26,43844.0
master,sub-52,ss02,27,22342.0
master,sub-52,ss02,28,20902.0
master,sub-52,ss02,29,13082.0
master,sub-52,ss02,30,31884.0
master,sub-52,ss03,1,22458.0
master,sub-52,ss03,2,56628.0
master,sub-52,ss03,3,22058.0
master,sub-52,ss03,4,57940.0
master,sub-52,ss03,5,58922.0
master,sub-52,ss03,6,22754.0
master,sub-52,ss03,7,33184.0
master,sub-52,ss03,8,26282.0
master,sub-52,ss03,9,58858.0
master,sub-52,ss03,10,52126.0
master,sub-52,ss03,11,27458.0
master,sub-52,ss03,12,57590.0
master,sub-52,ss03,13,39352.0
master,sub-52,ss03,14,24510.0
master,sub-52,ss03,15,57278.0
master,sub-52,ss03,16,57538.0
master,sub-52,ss03,17,56392.0
master,sub-52,ss03,18,16086.0
master,sub-52,ss03,19,55570.0
master,sub-52,ss03,20,58486.0
master,sub-52,ss03,21,57898.0
master,sub-52,ss03,22,58594.0
master,sub-52,ss03,23,42034.0
master,sub-52,ss03,24,17280.0
master,sub-52,ss03,25,46142.0
master,sub-52,ss03,26,55354.0
master,sub-52,ss03,27,11890.0
master,sub-52,ss03,28,35454.0
master,sub-52,ss03,29,47692.0
master,sub-52,ss03,30,57278.0
master,sub-55,ss01,1,26972.0
master,sub-55,ss01,2,19586.0
master,sub-55,ss01,3,26338.0
master,sub-55,ss01,4,25856.0
master,sub-55,ss01,5,27430.0
master,sub-55,ss01,6,20350.0
master,sub-55,ss01,7,26016.0
master,sub-55,ss01,8,27836.0
master,sub-55,ss01,9,27416.0
master,sub-55,ss01,10,28482.0
master,sub-55,ss01,11,27322.0
master,sub-55,ss01,12,28454.0
master,sub-55,ss01,13,27998.0
master,sub-55,ss01,14,27138.0
master,sub-55,ss01,15,27326.0
master,sub-55,ss01,16,25502.0
master,sub-55,ss01,17,24216.0
master,sub-55,ss01,18,23224.0
master,sub-55,ss01,19,26918.0
master,sub-55,ss01,20,23454.0
master,sub-55,ss01,21,26964.0
master,sub-55,ss01,22,27504.0
master,sub-55,ss01,23,27748.0
master,sub-55,ss01,24,24840.0
master,sub-55,ss01,25,28520.0
master,sub-55,ss01,26,22858.0
master,sub-55,ss01,27,27458.0
master,sub-55,ss01,28,27988.0
master,sub-55,ss01,29,22814.0
master,sub-55,ss01,30,11144.0
master,sub-55,ss02,1,17224.0
master,sub-55,ss02,2,30538.0
master,sub-55,ss02,3,47684.0
master,sub-55,ss02,4,58130.0
master,sub-55,ss02,5,49562.0
master,sub-55,ss02,6,58270.0
master,sub-55,ss02,7,22316.0
master,sub-55,ss02,8,54466.0
master,sub-55,ss02,9,50986.0
master,sub-55,ss02,10,57250.0
master,sub-55,ss02,11,27770.0
master,sub-55,ss02,12,34210.0
master,sub-55,ss02,13,34416.0
master,sub-55,ss02,14,16844.0
master,sub-55,ss02,15,36272.0
master,sub-55,ss02,16,23866.0
master,sub-55,ss02,17,9194.0
master,sub-55,ss02,18,57744.0
master,sub-55,ss02,19,22008.0
master,sub-55,ss02,20,46576.0
master,sub-55,ss02,21,58116.0
master,sub-55,ss02,22,21776.0
master,sub-55,ss02,23,15082.0
master,sub-55,ss02,24,35872.0
master,sub-55,ss02,25,52562.0
master,sub-55,ss02,26,54974.0
master,sub-55,ss02,27,21372.0
master,sub-55,ss02,28,57456.0
master,sub-55,ss02,29,14872.0
master,sub-55,ss02,30,56072.0
master,sub-55,ss03,1,57536.0
master,sub-55,ss03,2,56506.0
master,sub-55,ss03,3,57314.0
master,sub-55,ss03,4,54704.0
master,sub-55,ss03,5,57874.0
master,sub-55,ss03,6,58462.0
master,sub-55,ss03,7,47048.0
master,sub-55,ss03,8,56676.0
master,sub-55,ss03,9,57730.0
master,sub-55,ss03,10,35030.0
master,sub-55,ss03,11,58268.0
master,sub-55,ss03,12,50874.0
master,sub-55,ss03,13,48548.0
master,sub-55,ss03,14,57786.0
master,sub-55,ss03,15,58124.0
master,sub-55,ss03,16,43146.0
master,sub-55,ss03,17,50062.0
master,sub-55,ss03,18,57830.0
master,sub-55,ss03,19,53818.0
master,sub-55,ss03,20,58186.0
master,sub-55,ss03,21,58810.0
master,sub-55,ss03,22,57938.0
master,sub-55,ss03,23,57320.0
master,sub-55,ss03,24,32660.0
master,sub-55,ss03,25,49980.0
master,sub-55,ss03,26,58488.0
master,sub-55,ss03,27,58294.0
master,sub-55,ss03,28,43856.0
master,sub-55,ss03,29,56334.0
master,sub-55,ss03,30,50496.0
master,sub-56,ss01,1,11110.0
master,sub-56,ss01,2,21822.0
master,sub-56,ss01,3,16792.0
master,sub-56,ss01,4,22642.0
master,sub-56,ss01,5,23676.0
master,sub-56,ss01,6,25554.0
master,sub-56,ss01,7,27032.0
master,sub-56,ss01,8,28724.0
