Group,SubjectID,ss01_mean_RT_ms,ss02_mean_RT_ms,ss03_mean_RT_ms
amateur,sub-21,2141.9,2043.2,1938.9
amateur,sub-22,2369.3,2971.5,2272.7
amateur,sub-23,1910.5,1787.6,2026.4
amateur,sub-24,1369.4,1010.2,1202.7
amateur,sub-33,2182.4,1973.5,2591.0
amateur,sub-36,1497.1,2410.5,
amateur,sub-38,1741.8,2251.3,952.7
amateur,sub-39,2612.0,1626.5,1869.1
amateur,sub-40,1906.8,2336.7,2050.9
amateur,sub-41,3947.4,3369.9,2803.1
amateur,sub-42,2088.9,1834.2,1400.3
amateur,sub-43,3729.8,4121.3,3238.1
amateur,sub-44,4753.6,4946.2,4034.9
amateur,sub-45,2064.3,1880.7,2548.1
amateur,sub-46,3700.6,3092.9,3446.0
amateur,sub-47,6573.6,4169.1,4131.1
amateur,sub-48,1875.0,1826.7,1715.2
amateur,sub-49,3490.5,3519.7,3856.9
amateur,sub-51,2169.7,2209.4,2593.2
amateur,sub-P025,2424.7,2359.9,2224.6
amateur,sub-P026,1818.3,1712.5,1411.3
amateur,sub-P027,2990.2,2291.3,1918.0
amateur,sub-P028,12404.5,6600.1,4476.4
amateur,sub-P029,2790.3,2047.6,2044.5
amateur,sub-P030,2147.9,2057.4,1784.6
amateur,sub-P031,2464.4,2727.1,2019.5
amateur,sub-P032,1914.1,2608.2,2062.9
amateur,sub-sub34,2447.4,2336.0,2288.7
amateur,sub-sub35,2263.4,3368.0,1836.0
amateur,sub-sub50,2036.5,1797.1,1867.3
master,sub-52,1777.0,1463.1,1606.0
master,sub-55,3585.7,4552.6,7717.9
master,sub-56,3519.6,1829.8,1655.5
master,sub-57,1712.8,1583.6,2362.7
master,sub-58,1879.3,1665.3,1756.3
master,sub-59,1315.0,931.5,3152.1
master,sub-60,2580.0,4047.1,2928.3
master,sub-61,723.9,559.6,666.3
master,sub-63,1547.0,1103.7,1531.2
master,sub-67,1485.5,1368.9,1207.2
master,sub-68,1206.5,1450.3,1250.6
master,sub-69,2006.8,1320.7,1711.7
master,sub-70,1829.1,1532.6,1433.3
master,sub-71,2435.5,4298.6,1534.3
master,sub-72,1797.5,1486.1,1580.4
master,sub-73,1836.9,1579.1,1719.8
master,sub-75,2841.1,3390.9,2746.1
master,sub-76,3073.9,2024.1,2259.8
master,sub-77,2410.7,1905.0,2104.5
master,sub-78,2947.7,4754.7,3813.3
master,sub-80,2104.1,1938.7,2152.7
prof,sub-53,1565.3,1585.3,1619.8
prof,sub-54,1880.9,1200.9,4378.7
prof,sub-62,1678.8,1362.1,1262.3
prof,sub-64,1524.9,2299.2,1508.5
prof,sub-65,3246.1,2323.5,2718.5
prof,sub-66,2750.5,1692.4,1767.8
prof,sub-74,2898.8,2114.5,1930.1
prof,sub-79,5730.9,5034.6,5510.9
